(val) step 2639: {'pi': 0.9921875, 'score': 0.9921875, 'examples_seen': 84480, 'step': 2639}
(val) step 2649: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 84800, 'step': 2649}
(val) step 2659: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 85120, 'step': 2659}
(val) step 2669: {'pi': 1.0, 'score': 1.0, 'examples_seen': 85440, 'step': 2669}
(val) step 2679: {'pi': 1.0, 'score': 1.0, 'examples_seen': 85760, 'step': 2679}
(val) step 2689: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 86080, 'step': 2689}
(val) step 2699: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 86400, 'step': 2699}
(val) step 2709: {'pi': 1.0, 'score': 1.0, 'examples_seen': 86720, 'step': 2709}
(val) step 2719: {'pi': 1.0, 'score': 1.0, 'examples_seen': 87040, 'step': 2719}
(val) step 2729: {'pi': 0.98046875, 'score': 0.98046875, 'examples_seen': 87360, 'step': 2729}
(val) step 2739: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 87680, 'step': 2739}
(val) step 2749: {'pi': 0.990234375, 'score': 0.990234375, 'examples_seen': 88000, 'step': 2749}
(val) step 2759: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 88320, 'step': 2759}
(val) step 2769: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 88640, 'step': 2769}
(val) step 2779: {'pi': 1.0, 'score': 1.0, 'examples_seen': 88960, 'step': 2779}
(val) step 2789: {'pi': 1.0, 'score': 1.0, 'examples_seen': 89280, 'step': 2789}
(val) step 2799: {'pi': 1.0, 'score': 1.0, 'examples_seen': 89600, 'step': 2799}
(val) step 2809: {'pi': 1.0, 'score': 1.0, 'examples_seen': 89920, 'step': 2809}
(val) step 2819: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 90240, 'step': 2819}
(val) step 2829: {'pi': 1.0, 'score': 1.0, 'examples_seen': 90560, 'step': 2829}
(val) step 2839: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 90880, 'step': 2839}
(val) step 2849: {'pi': 1.0, 'score': 1.0, 'examples_seen': 91200, 'step': 2849}
